source,target,weight,sign,type,gate,origin
SYS.SOC_DETERM,SYS.NEEDS_IF,0.65,-,social_determinant,none,Batch H
SYS.SOC_DETERM,SYS.DIS_IF,0.60,-,disorder_prior,dev_window,Batch H
SYS.INEQ,SYS.DIS_IF,0.50,-,disorder_prior,none,Batch H
SYS.CULT,SYS.PERSON_IF,0.55,+,transactional,none,Batch H
SYS.CULT,SYS.MICRO,0.55,+,nested,none,Batch H
SYS.MEDIA,SYS.CULT,0.50,+,transactional,none,Batch H
SYS.MACRO,SYS.MACRO,0.60,+,self-loop,historical,Batch H
SYS.SERV,SYS.LEVERAGE,0.70,+,mechanism,none,Batch H
SYS.SERV,SYS.PERSON_IF,0.55,+,transactional,none,Batch H
SYS.LEVERAGE,SYS.MICRO,0.65,+,mechanism,situational,Batch H
SYS.LEVERAGE,SYS.THER_IF,0.75,+,mechanism,none,Batch H
SYS.FAM,SYS.THER_IF,0.65,+,transactional,none,Batch H
SYS.MICRO,SYS.ME_IF,0.60,+,transactional,none,Batch H
SYS.MICRO,SYS.NEEDS_IF,0.60,+,transactional,none,Batch H
SYS.CHRONO,SYS.DEV_IF,0.70,+,transactional,historical,Batch H
SYS.CHRONO,SYS.MACRO,0.50,+,nested,historical,Batch H
SYS.PROX_PROC,SYS.DEV_IF,0.65,+,transactional,dev_window,Batch H
SYS.PERSON_IF,SYS.BOUNDARY,0.55,+,transactional,none,Batch H
THER.THER,THER.N01,0.85,+,hierarchical,none,Batch J (composition)
THER.THER,THER.N02,0.85,+,hierarchical,none,Batch J (composition)
THER.THER,THER.N03,0.85,+,hierarchical,none,Batch J (composition)
THER.THER,THER.N04,0.85,+,hierarchical,none,Batch J (composition)
THER.THER,THER.N05,0.85,+,hierarchical,none,Batch J (composition)
THER.THER,THER.N06,0.85,+,hierarchical,none,Batch J (composition)
THER.THER,THER.N07,0.85,+,hierarchical,none,Batch J (composition)
THER.THER,THER.N08,0.85,+,hierarchical,none,Batch J (composition)
THER.THER,THER.N09,0.85,+,hierarchical,none,Batch J (composition)
THER.THER,THER.N10,0.85,+,hierarchical,none,Batch J (composition)
THER.THER,THER.N11,0.85,+,hierarchical,none,Batch J (composition)
THER.N03,THER.S0301,0.80,+,hierarchical-implicit,none,Batch J (parent field)
THER.N03,THER.S0302,0.80,+,hierarchical-implicit,none,Batch J (parent field)
THER.N03,THER.S0303,0.80,+,hierarchical-implicit,none,Batch J (parent field)
THER.N03,THER.S0304,0.80,+,hierarchical-implicit,none,Batch J (parent field)
THER.N03,THER.S0305,0.80,+,hierarchical-implicit,none,Batch J (parent field)
THER.N03,THER.S0306,0.80,+,hierarchical-implicit,none,Batch J (parent field)
THER.N05,THER.S0501,0.80,+,hierarchical-implicit,none,Batch J (parent field)
THER.N05,THER.S0502,0.80,+,hierarchical-implicit,none,Batch J (parent field)
THER.N05,THER.S0503,0.80,+,hierarchical-implicit,none,Batch J (parent field)
THER.N05,THER.S0504,0.80,+,hierarchical-implicit,none,Batch J (parent field)
THER.N05,THER.S0505,0.80,+,hierarchical-implicit,none,Batch J (parent field)
THER.N05,THER.S0506,0.80,+,hierarchical-implicit,none,Batch J (parent field)
THER.N05,THER.S0507,0.80,+,hierarchical-implicit,none,Batch J (parent field)
THER.N05,THER.S0508,0.80,+,hierarchical-implicit,none,Batch J (parent field)
THER.N07,THER.S0701,0.80,+,hierarchical-implicit,none,Batch J (parent field)
THER.N07,THER.S0702,0.80,+,hierarchical-implicit,none,Batch J (parent field)
THER.N07,THER.S0703,0.80,+,hierarchical-implicit,none,Batch J (parent field)
THER.N07,THER.S0704,0.80,+,hierarchical-implicit,none,Batch J (parent field)
THER.N07,THER.S0705,0.80,+,hierarchical-implicit,none,Batch J (parent field)
THER.N07,THER.S0706,0.80,+,hierarchical-implicit,none,Batch J (parent field)
THER.N07,THER.S0707,0.80,+,hierarchical-implicit,none,Batch J (parent field)
THER.N09,THER.S0901,0.80,+,hierarchical-implicit,none,Batch J (parent field)
THER.N09,THER.S0902,0.80,+,hierarchical-implicit,none,Batch J (parent field)
THER.N09,THER.S0903,0.80,+,hierarchical-implicit,none,Batch J (parent field)
THER.N09,THER.S0904,0.80,+,hierarchical-implicit,none,Batch J (parent field)
THER.N09,THER.S0905,0.80,+,hierarchical-implicit,none,Batch J (parent field)
THER.N09,THER.S0906,0.80,+,hierarchical-implicit,none,Batch J (parent field)
DEV.D,DEV.CTX_CARE,0.80,+,hierarchical-implicit,none,Batch J (parent field)
DEV.D,DEV.MECH_MAT,0.80,+,hierarchical-implicit,none,Batch J (parent field)
DEV.D,DEV.MECH_LRN,0.80,+,hierarchical-implicit,none,Batch J (parent field)
DEV.D,DEV.MECH_CON,0.80,+,hierarchical-implicit,none,Batch J (parent field)
DEV.D,DEV.MECH_INT,0.80,+,hierarchical-implicit,none,Batch J (parent field)
DEV.D,DEV.MECH_TRX,0.80,+,hierarchical-implicit,none,Batch J (parent field)
DEV.DOM_COG,DEV.SUB_COG1,0.80,+,hierarchical-implicit,none,Batch J (parent field)
DEV.DOM_COG,DEV.SUB_COG2,0.80,+,hierarchical-implicit,none,Batch J (parent field)
DEV.DOM_COG,DEV.SUB_COG3,0.80,+,hierarchical-implicit,none,Batch J (parent field)
DEV.DOM_COG,DEV.SUB_COG4,0.80,+,hierarchical-implicit,none,Batch J (parent field)
DEV.DOM_SOC,DEV.SUB_SOC1,0.80,+,hierarchical-implicit,none,Batch J (parent field)
DEV.DOM_SOC,DEV.SUB_SOC2,0.80,+,hierarchical-implicit,none,Batch J (parent field)
DEV.DOM_SOC,DEV.SUB_SOC3,0.80,+,hierarchical-implicit,none,Batch J (parent field)
PER.P,PER.ST_STATE,0.80,+,hierarchical-implicit,none,Batch J (parent field)
PER.P,PER.CTX_SIT,0.80,+,hierarchical-implicit,none,Batch J (parent field)
PER.P,PER.OUT_LIFE,0.80,+,hierarchical-implicit,none,Batch J (parent field)
PER.P,PER.TEMP_IN,0.80,+,hierarchical-implicit,none,Batch J (parent field)
PER.P,PER.MECH_SEL,0.80,+,hierarchical-implicit,none,Batch J (parent field)
PER.P,PER.MECH_EVO,0.80,+,hierarchical-implicit,none,Batch J (parent field)
PER.P,PER.MECH_REA,0.80,+,hierarchical-implicit,none,Batch J (parent field)
PER.P,PER.MECH_INS,0.80,+,hierarchical-implicit,none,Batch J (parent field)
PER.P,PER.MECH_CYB,0.80,+,hierarchical-implicit,none,Batch J (parent field)
PER.LAYER_ADP,PER.SUB_ADP1,0.80,+,hierarchical-implicit,none,Batch J (parent field)
PER.LAYER_ADP,PER.SUB_ADP2,0.80,+,hierarchical-implicit,none,Batch J (parent field)
PER.LAYER_ADP,PER.SUB_ADP3,0.80,+,hierarchical-implicit,none,Batch J (parent field)
PER.LAYER_ADP,PER.SUB_ADP4,0.80,+,hierarchical-implicit,none,Batch J (parent field)
PER.LAYER_NAR,PER.SUB_NAR1,0.80,+,hierarchical-implicit,none,Batch J (parent field)
PER.LAYER_NAR,PER.SUB_NAR2,0.80,+,hierarchical-implicit,none,Batch J (parent field)
TEM.T,TEM.BIO_GEN,0.80,+,hierarchical-implicit,none,Batch J (parent field)
TEM.T,TEM.FIT,0.80,+,hierarchical-implicit,none,Batch J (parent field)
TEM.T,TEM.CTX_CARE,0.80,+,hierarchical-implicit,none,Batch J (parent field)
TEM.T,TEM.OUT_ADJ,0.80,+,hierarchical-implicit,none,Batch J (parent field)
TEM.T,TEM.PERS_IF,0.80,+,hierarchical-implicit,none,Batch J (parent field)
TEM.T,TEM.MECH_TXT,0.80,+,hierarchical-implicit,none,Batch J (parent field)
TEM.T,TEM.MECH_TXE,0.80,+,hierarchical-implicit,none,Batch J (parent field)
TEM.T,TEM.MECH_MAT,0.80,+,hierarchical-implicit,none,Batch J (parent field)
NEED.N,NEED.SAT,0.80,+,hierarchical-implicit,none,Batch J (parent field)
NEED.N,NEED.FRU,0.80,+,hierarchical-implicit,none,Batch J (parent field)
NEED.N,NEED.CTX_ENV,0.80,+,hierarchical-implicit,none,Batch J (parent field)
NEED.N,NEED.OUT_WB,0.80,+,hierarchical-implicit,none,Batch J (parent field)
NEED.N,NEED.OUT_IB,0.80,+,hierarchical-implicit,none,Batch J (parent field)
NEED.N,NEED.MOT_IF,0.80,+,hierarchical-implicit,none,Batch J (parent field)
NEED.N,NEED.PERS_IF,0.80,+,hierarchical-implicit,none,Batch J (parent field)
NEED.N,NEED.MECH_PRI,0.80,+,hierarchical-implicit,none,Batch J (parent field)
NEED.N,NEED.MECH_STR,0.80,+,hierarchical-implicit,none,Batch J (parent field)
NEED.N,NEED.MECH_SUB,0.80,+,hierarchical-implicit,none,Batch J (parent field)
ME.ME,ME.OUT_ACT,0.80,+,hierarchical-implicit,none,Batch J (parent field)
ME.ME,ME.NEEDS_IF,0.80,+,hierarchical-implicit,none,Batch J (parent field)
ME.ME,ME.SYS_IF,0.80,+,hierarchical-implicit,none,Batch J (parent field)
ME.ME,ME.PERS_IF,0.80,+,hierarchical-implicit,none,Batch J (parent field)
ME.ME,ME.TEMP_IF,0.80,+,hierarchical-implicit,none,Batch J (parent field)
ME.ME,ME.DIS_IF,0.80,+,hierarchical-implicit,none,Batch J (parent field)
ME.ME,ME.THER_IF,0.80,+,hierarchical-implicit,none,Batch J (parent field)
ME.ME,ME.MECH_ATTR,0.80,+,hierarchical-implicit,none,Batch J (parent field)
ME.ME,ME.MECH_SAL,0.80,+,hierarchical-implicit,none,Batch J (parent field)
ME.ME,ME.MECH_REG,0.80,+,hierarchical-implicit,none,Batch J (parent field)
ME.ME,ME.MECH_LEARN,0.80,+,hierarchical-implicit,none,Batch J (parent field)
SYS.SYS,SYS.FEEDBACK,0.80,+,hierarchical-implicit,none,Batch J (parent field)
SYS.SYS,SYS.COUPLING,0.80,+,hierarchical-implicit,none,Batch J (parent field)
SYS.SYS,SYS.PROX_PROC,0.80,+,hierarchical-implicit,none,Batch J (parent field)
SYS.SYS,SYS.SOC_DETERM,0.80,+,hierarchical-implicit,none,Batch J (parent field)
SYS.SYS,SYS.LEVERAGE,0.80,+,hierarchical-implicit,none,Batch J (parent field)
SYS.SYS,SYS.PERSON_IF,0.80,+,hierarchical-implicit,none,Batch J (parent field)
SYS.SYS,SYS.NEEDS_IF,0.80,+,hierarchical-implicit,none,Batch J (parent field)
SYS.SYS,SYS.ME_IF,0.80,+,hierarchical-implicit,none,Batch J (parent field)
SYS.SYS,SYS.DEV_IF,0.80,+,hierarchical-implicit,none,Batch J (parent field)
SYS.SYS,SYS.DIS_IF,0.80,+,hierarchical-implicit,none,Batch J (parent field)
SYS.SYS,SYS.THER_IF,0.80,+,hierarchical-implicit,none,Batch J (parent field)
TEM.PERS_IF,PER.P,0.9,+,binding,none,Batch J (composition)
TEM.OUT_ADJ,DIS.P,0.9,+,binding,none,Batch J (composition)
NEED.MOT_IF,ME.ME,0.9,+,binding,none,Batch J (composition)
PER.P,NEED.PERS_IF,0.9,+,binding,none,Batch J (composition)
NEED.N,ME.NEEDS_IF,0.9,+,binding,none,Batch J (composition)
ME.SYS_IF,SYS.SYS,0.9,+,binding,none,Batch J (composition)
SYS.SYS,ME.SYS_IF,0.9,+,binding,none,Batch J (composition)
PER.P,ME.PERS_IF,0.9,+,binding,none,Batch J (composition)
TEM.T,ME.TEMP_IF,0.9,+,binding,none,Batch J (composition)
ME.DIS_IF,DIS.P,0.9,+,binding,none,Batch J (composition)
THER.THER,ME.THER_IF,0.9,+,binding,none,Batch J (composition)
SYS.PERSON_IF,PER.P,0.9,+,binding,none,Batch J (composition)
SYS.NEEDS_IF,NEED.N,0.9,+,binding,none,Batch J (composition)
SYS.ME_IF,ME.ME,0.9,+,binding,none,Batch J (composition)
SYS.DEV_IF,DEV.D,0.9,+,binding,none,Batch J (composition)
SYS.DIS_IF,DIS.P,0.9,+,binding,none,Batch J (composition)
THER.THER,SYS.THER_IF,0.9,+,binding,none,Batch J (composition)
TEM.T,DEV.D,0.45,+,interstratum-transactional,infancy-peak,Batch J (dimension edge)
DEV.D,TEM.T,0.45,+,interstratum-parametric,maturation-gated,Batch J (dimension edge)
DEV.D,PER.P,0.70,+,interstratum-parametric,childhood-to-adulthood,Batch J (dimension edge)
DEV.D,NEED.N,0.50,+,interstratum-parametric,life-stage-windows,Batch J (dimension edge)
DEV.D,ME.ME,0.50,+,interstratum-parametric,childhood,Batch J (dimension edge)
DEV.D,DIS.P,0.55,+,interstratum-disorder_prior,dev_window,Batch J (dimension edge)
NEED.N,DIS.P,0.55,+,interstratum-disorder_prior,none,Batch J (dimension edge)
ME.ME,NEED.N,0.50,+,interstratum-feedback,none,Batch J (dimension edge)
PER.P,DIS.P,0.60,+,interstratum-disorder_prior,none,Batch J (dimension edge)
PER.P,SYS.SYS,0.60,+,interstratum-transactional,none,Batch J (dimension edge)
SYS.SYS,PER.P,0.50,+,interstratum-transactional,age-increasing,Batch J (dimension edge)
DIS.P,THER.THER,0.70,+,interstratum-transactional,situational,Batch J (dimension edge)
DIS.P,NEED.N,0.45,-,interstratum-feedback,none,Batch J (dimension edge)
DIS.P,SYS.SYS,0.45,-,interstratum-feedback,none,Batch J (dimension edge)
THER.THER,DIS.P,0.65,-,interstratum-treatment,none,Batch J (dimension edge)
THER.THER,TEM.T,0.45,+,interstratum-treatment,none,Batch J (dimension edge)
THER.THER,PER.P,0.40,+,interstratum-treatment,none,Batch J (dimension edge)
THER.THER,NEED.N,0.45,+,interstratum-treatment,none,Batch J (dimension edge)
